unix,date,symbol,open,high,low,close,Volume XRP,Volume USD
1541980800,2018-11-12,XRP/USD,0.5044,0.5289,0.4986,0.5183,790961.4671,409955.3284
1541894400,2018-11-11,XRP/USD,0.503,0.5095,0.496,0.5045,433427.6254,218664.237
1541808000,2018-11-10,XRP/USD,0.4987,0.5128,0.4987,0.503,430891.8618,216738.6065
1541721600,2018-11-09,XRP/USD,0.4902,0.514,0.4872,0.4991,754289.5895,376465.9341
1541635200,2018-11-08,XRP/USD,0.5349,0.5384,0.4884,0.4905,1214016.616,595475.1502
1541548800,2018-11-07,XRP/USD,0.549,0.549,0.5199,0.5347,1114471.476,595907.898
1541462400,2018-11-06,XRP/USD,0.4995,0.5566,0.4984,0.549,2837040.746,1557535.369
1541376000,2018-11-05,XRP/USD,0.4678,0.499,0.4626,0.499,1004674.346,501332.4986
1541289600,2018-11-04,XRP/USD,0.4576,0.4767,0.45,0.4678,741554.3391,346899.1198
1541203200,2018-11-03,XRP/USD,0.4641,0.4656,0.457,0.4574,264962.738,121193.9563
1541116800,2018-11-02,XRP/USD,0.4606,0.466,0.4573,0.4642,375017.8197,174083.2719
1541030400,2018-11-01,XRP/USD,0.459,0.4645,0.4531,0.459,394854.1369,181238.0489
1540944000,2018-10-31,XRP/USD,0.4519,0.466,0.445,0.4569,672798.964,307401.8467
1540857600,2018-10-30,XRP/USD,0.4477,0.455,0.4452,0.4519,700343.2537,316485.1164
1540771200,2018-10-29,XRP/USD,0.4666,0.4666,0.4411,0.4488,1024340.666,459724.0907
1540684800,2018-10-28,XRP/USD,0.4614,0.4665,0.4576,0.4649,317261.6771,147494.9537
1540598400,2018-10-27,XRP/USD,0.4629,0.4643,0.4575,0.4605,278013.0004,128024.9867
1540512000,2018-10-26,XRP/USD,0.4677,0.4683,0.4589,0.4614,536216.3749,247410.2354
1540425600,2018-10-25,XRP/USD,0.4608,0.47,0.451,0.4655,566227.9616,263579.1161
1540339200,2018-10-24,XRP/USD,0.4675,0.4749,0.4561,0.4587,608769.0865,279242.38
1540252800,2018-10-23,XRP/USD,0.459,0.483,0.4402,0.4673,1390265.132,649670.896
1540166400,2018-10-22,XRP/USD,0.4628,0.4659,0.4512,0.459,606369.0763,278323.406
1540080000,2018-10-21,XRP/USD,0.4633,0.4667,0.4601,0.4632,266470.5558,123429.1615
1539993600,2018-10-20,XRP/USD,0.4572,0.4749,0.4562,0.463,376218.9437,174189.3709
1539907200,2018-10-19,XRP/USD,0.4615,0.4686,0.455,0.4572,570008.5513,260607.9097
1539820800,2018-10-18,XRP/USD,0.4767,0.483,0.4518,0.4615,999685.7065,461354.9536
1539734400,2018-10-17,XRP/USD,0.4789,0.49,0.461,0.4775,1028773.457,491239.3256
1539648000,2018-10-16,XRP/USD,0.4492,0.48,0.4451,0.4793,1410802.852,676197.8067
1539561600,2018-10-15,XRP/USD,0.4067,0.4944,0.401,0.4497,2435979.566,1095460.011
1539475200,2018-10-14,XRP/USD,0.421,0.43,0.4022,0.4063,393929.2678,160053.4615
1539388800,2018-10-13,XRP/USD,0.421,0.4337,0.4178,0.4219,497018.5028,209692.1063
1539302400,2018-10-12,XRP/USD,0.3836,0.448,0.3805,0.425,1544017.974,656207.6389
1539216000,2018-10-11,XRP/USD,0.4623,0.4648,0.3821,0.3843,3188378.812,1225293.977
1539129600,2018-10-10,XRP/USD,0.4813,0.4869,0.4611,0.4658,967618.0261,450716.4766
1539043200,2018-10-09,XRP/USD,0.4911,0.4931,0.47,0.4776,557645.7471,266331.6088
1538956800,2018-10-08,XRP/USD,0.4816,0.4987,0.4751,0.4911,1122834.108,551423.8306
