unix,date,symbol,open,high,low,close,Volume BTC,Volume USD
1526774400,2018-05-20,BTC/USD,8279,8682.5,8279,8619.6,403.1395122,3474901.339
1526688000,2018-05-19,BTC/USD,8317.6,8438.7,8220,8324.7,325.6639256,2711054.481
1526601600,2018-05-18,BTC/USD,8200,8385.2,8101.1,8323.9,400.9394063,3337379.524
1526515200,2018-05-17,BTC/USD,8442.5,8550,8194.3,8200.6,586.6175418,4810615.813
1526428800,2018-05-16,BTC/USD,8585.7,8609.9,8254.6,8442.7,852.0740332,7193805.44
1526342400,2018-05-15,BTC/USD,8700,8880,8530.1,8591.4,467.2714756,4014516.155
1526256000,2018-05-14,BTC/USD,8825.7,8927.6,8490.1,8704.5,765.9906875,6667565.94
1526169600,2018-05-13,BTC/USD,8619.3,8918.8,8545,8835,472.2425542,4172262.966
1526083200,2018-05-12,BTC/USD,8573.4,8809.9,8410,8615.8,786.5807234,6777022.196
1525996800,2018-05-11,BTC/USD,9075.4,9121.3,8500.2,8529.6,1049.409815,8951045.958
1525910400,2018-05-10,BTC/USD,9328.7,9396.8,9063.1,9095.8,482.500885,4388731.55
1525824000,2018-05-09,BTC/USD,9225.8,9379.3,9057.2,9332,479.9856782,4479226.349
1525737600,2018-05-08,BTC/USD,9368.3,9499.9,9110,9236.7,654.2077441,6042720.669
1525651200,2018-05-07,BTC/USD,9637.2,9645.3,9226,9384.7,520.6232247,4885892.777
1525564800,2018-05-06,BTC/USD,9750,9858.1,9450.1,9639.8,504.317782,4861522.555
1525478400,2018-05-05,BTC/USD,9663.8,9900,9630.8,9783.8,677.533086,6628848.207
1525392000,2018-05-04,BTC/USD,9651.3,9749,9473,9664.9,568.5398883,5494881.167
1525305600,2018-05-03,BTC/USD,9186.1,9700,9146.2,9680,839.6196651,8127518.358
1525219200,2018-05-02,BTC/USD,9067.1,9209.4,9000,9184.5,351.9224352,3232231.606
1525132800,2018-05-01,BTC/USD,9275.7,9275.7,8877.1,9058.9,540.2895544,4894429.045
1525046400,2018-04-30,BTC/USD,9402.2,9420.2,9170,9274.6,437.1446302,4054341.587
1524960000,2018-04-29,BTC/USD,9349.7,9474.9,9227,9398,468.6430656,4404307.53
1524873600,2018-04-28,BTC/USD,8989.8,9449,8943.2,9349,585.9251518,5477814.244
1524787200,2018-04-27,BTC/USD,9289.3,9390,8940.1,8993.5,810.9859371,7293602.025
1524700800,2018-04-26,BTC/USD,8934.1,9300,8700,9278.4,731.2963137,6785259.717
1524614400,2018-04-25,BTC/USD,9637.5,9725,8800,8912.7,1461.282389,13023971.55
1524528000,2018-04-24,BTC/USD,8944.2,9699,8912.3,9629,1078.019436,10380249.15
1524441600,2018-04-23,BTC/USD,8817.5,8997,8783,8945.5,385.3511166,3447158.414
1524355200,2018-04-22,BTC/USD,8890.9,9054.8,8760,8824.2,627.4190326,5536471.027
1524268800,2018-04-21,BTC/USD,8880.4,9120,8600,8890.3,946.696407,8416415.068
1524182400,2018-04-20,BTC/USD,8290.8,8942.5,8215.3,8871.3,948.7407282,8416563.622
1524096000,2018-04-19,BTC/USD,8143,8317,8102,8276.7,512.320395,4240322.213
1524009600,2018-04-18,BTC/USD,7910.5,8200,7903.6,8155.6,669.5762712,5460796.238
1523923200,2018-04-17,BTC/USD,8040,8177.9,7830.9,7926.9,620.9252715,4922012.534
1523836800,2018-04-16,BTC/USD,8306.9,8380,7900,8040,793.1210804,6376693.486
1523750400,2018-04-15,BTC/USD,7988.5,8387.9,7988.5,8308.2,600.5046125,4989112.421
1523664000,2018-04-14,BTC/USD,7863,8150,7840.1,7988.5,685.108862,5472992.144
1523577600,2018-04-13,BTC/USD,7945.8,8234.2,7715.6,7862.4,1272.433247,10004379.16
1523491200,2018-04-12,BTC/USD,6944,7984,6734,7924.1,2193.658378,17382768.35
1523404800,2018-04-11,BTC/USD,6814,6950,6781,6944.3,286.5137939,1989637.739
1523318400,2018-04-10,BTC/USD,6772.8,6874.9,6681.1,6841.3,428.4331282,2931039.56
1523232000,2018-04-09,BTC/USD,6965.9,7140,6646.9,6772.8,919.6871784,6228857.322
